ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
212578|A Display of My Dark Power||Scheme|||When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced.|Archenemy|Common|0.0||1.077|Jim Nelson|8||When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced.|0|
220525|Æther Spellbomb|{1}|Artifact|||{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.<br>{1}, Sacrifice Æther Spellbomb: Draw a card.|Archenemy|Common|0.0||3.925|Jim Nelson|102||{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.<br>{1}, Sacrifice Æther Spellbomb: Draw a card.|0|
220454|Agony Warp|{U}{B}|Instant|||Target creature gets -3/-0 until end of turn.<br>Target creature gets -0/-3 until end of turn.|Archenemy|Common|0.0||4.13|Dave Allsop|76||Target creature gets -3/-0 until end of turn.<br>Target creature gets -0/-3 until end of turn.|0|
212648|All in Good Time||Scheme|||When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn.|Archenemy|Common|0.0||4.988|Nic Klein|1||When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn.|0|
212617|All Shall Smolder in My Wake||Scheme|||When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land.|Archenemy|Common|0.0||3.7|Jim Nelson|2||When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land.|0|
212591|Approach My Molten Realm||Scheme|||When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead.|Archenemy|Common|0.0||1.789|Jim Pavelec|3||When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead.|0|
220517|Architects of Will|{2}{U}{B}|Artifact Creature - Human Wizard|3|3|When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.<br>Cycling {U/B} <i>({U/B}, Discard this card: Draw a card.)</i>|Archenemy|Common|0.0||3.222|Matt Stewart|77||When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.<br>Cycling {U/B} <i>({U/B}, Discard this card: Draw a card.)</i>|0|
220498|Armadillo Cloak|{1}{G}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|Archenemy|Common|0.0||4.713|Parente|78||Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|0|
220553|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|Archenemy|Uncommon|0.0||4.638|Jason Felix|123||When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|0|
220539|Avatar of Discord|{B/R}{B/R}{B/R}|Creature - Avatar|5|3|<i>({B/R} can be paid with either {B} or {R}.)</i><br>Flying<br>When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.|Archenemy|Rare|0.0||4.167|rk post|79||<i>({B/R} can be paid with either {B} or {R}.)</i><br>Flying<br>When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.|0|
220562|Avatar of Woe|{6}{B}{B}|Creature - Avatar|6|5|If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|Archenemy|Rare|0.0||4.86|rk post|9||If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|0|
220540|Azorius Signet|{2}|Artifact|||{1}, {T}: Add {W}{U} to your mana pool.|Archenemy|Common|0.0||3.7|Greg Hildebrandt|103||{1}, {T}: Add {W}{U} to your mana pool.|0|
220487|Barren Moor||Land|||Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|Archenemy|Common|0.0||3.719|Heather Hudson|124||Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|0|
220488|Battering Craghorn|{2}{R}{R}|Creature - Goat Beast|3|1|First strike<br>Morph {1}{R}{R} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Archenemy|Common|0.0||2.929|Matt Cavotta|30||First strike<br>Morph {1}{R}{R} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|0|
220573|Batwing Brume|{1}{W/B}|Instant|||Prevent all combat damage that would be dealt this turn if {W} was spent to cast Batwing Brume. Each player loses 1 life for each attacking creature he or she controls if {B} was spent to cast Batwing Brume. <i>(Do both if {W}{B} was spent.)</i>|Archenemy|Uncommon|0.0||4.333|Richard Kane Ferguson|80||Prevent all combat damage that would be dealt this turn if {W} was spent to cast Batwing Brume. Each player loses 1 life for each attacking creature he or she controls if {B} was spent to cast Batwing Brume. <i>(Do both if {W}{B} was spent.)</i>|0|
220482|Beacon of Unrest|{3}{B}{B}|Sorcery|||Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.|Archenemy|Rare|0.0||4.653|Alan Pollack|10||Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.|0|
212585|Behold the Power of Destruction||Scheme|||When you set this scheme in motion, destroy all nonland permanents target opponent controls.|Archenemy|Common|0.0||4.892|Jesper Ejsing|4||When you set this scheme in motion, destroy all nonland permanents target opponent controls.|0|
220518|Bituminous Blast|{3}{B}{R}|Instant|||Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i><br>Bituminous Blast deals 4 damage to target creature.|Archenemy|Uncommon|0.0||4.578|Raymond Swanland|81||Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i><br>Bituminous Blast deals 4 damage to target creature.|0|
