ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
201781|Albino Troll|{1}{G}|Creature - Troll|3|3|Echo {1}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{1}{G}: Regenerate Albino Troll.|Duel Decks: Garruk vs. Liliana|Uncommon|0.0||3.694|Parente|3||Echo {1}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{1}{G}: Regenerate Albino Troll.|0|
201820|Bad Moon|{1}{B}|Enchantment|||Black creatures get +1/+1.|Duel Decks: Garruk vs. Liliana|Rare|0.0||4.167|Gary Leach|48||Black creatures get +1/+1.|0|
201836|Basking Rootwalla|{G}|Creature - Lizard|1|1|{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|Duel Decks: Garruk vs. Liliana|Common|0.0||4.696|Heather Hudson|2||{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|0|
201844|Beast||Creature- Beast|4|4||Duel Decks: Garruk vs. Liliana|Common|0.0||4.409|Steve Prescott|2|||0|
201842|Beast||Creature- Beast|4|4||Duel Decks: Garruk vs. Liliana|Common|0.0||3.7|John Donahue|1|||0|
201824|Beast Attack|{2}{G}{G}{G}|Instant|||Put a 4/4 green Beast creature token onto the battlefield.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Garruk vs. Liliana|Uncommon|0.0||4.146|Ciruelo|23||Put a 4/4 green Beast creature token onto the battlefield.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|0|
201831|Blastoderm|{2}{G}{G}|Creature - Beast|5|5|Shroud <i>(This permanent can't be the target of spells or abilities.)</i><br>Fading 3 <i>(This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)</i>|Duel Decks: Garruk vs. Liliana|Common|0.0||4.379|Nils Hamm|7||Shroud <i>(This permanent can't be the target of spells or abilities.)</i><br>Fading 3 <i>(This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)</i>|0|
201821|Corrupt|{5}{B}|Sorcery|||Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|Duel Decks: Garruk vs. Liliana|Uncommon|0.0||4.062|Dave Allsop|57||Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|0|
202143|Deathgreeter|{B}|Creature - Human Shaman|1|1|Whenever another creature dies, you may gain 1 life.|Duel Decks: Garruk vs. Liliana|Common|0.0||3.912|Dominick Domingo|33||Whenever another creature dies, you may gain 1 life.|0|
202275|Drudge Skeletons|{1}{B}|Creature - Skeleton|1|1|{B}: Regenerate Drudge Skeletons. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Duel Decks: Garruk vs. Liliana|Common|0.0||3.881|Daarken|36||{B}: Regenerate Drudge Skeletons. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|0|
