ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
22317|Scouting Trek|{1}{G}|Sorcery|||Search your library for any number of basic land cards. Reveal those cards, then shuffle your library and put them on top of it.|Invasion|Uncommon|0.0||4.083|Stephanie Law|210||Search your library for any number of basic land cards. Reveal those cards, then shuffle your library and put them on top of it.|0|
22928|Sunscape Apprentice|{W}|Creature - Human Wizard|1|1|{G}, {T}: Target creature gets +1/+1 until end of turn.<br>{U}, {T}: Put target creature you control on top of its owner's library.|Invasion|Common|0.0||2.844|Stephanie Law|41||{G}, {T}: Target creature gets +1/+1 until end of turn.<br>{U}, {T}: Put target creature you control on top of its owner's library.|0|
22929|Glimmering Angel|{3}{W}|Creature - Angel|2|2|Flying<br>{U}: Glimmering Angel gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|Invasion|Common|0.0||2.325|Ciruelo|17||Flying<br>{U}: Glimmering Angel gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|0|
22930|Viashino Grappler|{2}{R}|Creature - Viashino|3|1|{G}: Viashino Grappler gains trample until end of turn.|Invasion|Common|0.0||1.656|Mark Romanoski|179||{G}: Viashino Grappler gains trample until end of turn.|0|
22931|Ardent Soldier|{1}{W}|Creature - Human Soldier|1|2|Kicker {2} <i>(You may pay an additional {2} as you cast this spell.)</i><br>Vigilance<br>If Ardent Soldier was kicked, it enters the battlefield with a +1/+1 counter on it.|Invasion|Common|0.0||2.479|Paolo Parente|3||Kicker {2} <i>(You may pay an additional {2} as you cast this spell.)</i><br>Vigilance<br>If Ardent Soldier was kicked, it enters the battlefield with a +1/+1 counter on it.|0|
22932|Benalish Lancer|{2}{W}|Creature - Human Knight|2|2|Kicker {2}{W} <i>(You may pay an additional {2}{W} as you cast this spell.)</i><br>If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.|Invasion|Common|0.0||2.722|Paolo Parente|7||Kicker {2}{W} <i>(You may pay an additional {2}{W} as you cast this spell.)</i><br>If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.|0|
22934|Crimson Acolyte|{1}{W}|Creature - Human Cleric|1|1|Protection from red<br>{W}: Target creature gains protection from red until end of turn.|Invasion|Common|0.0||3.208|Orizio Daniele|11||Protection from red<br>{W}: Target creature gains protection from red until end of turn.|0|
22935|Obsidian Acolyte|{1}{W}|Creature - Human Cleric|1|1|Protection from black<br>{W}: Target creature gains protection from black until end of turn.|Invasion|Common|0.0||3.15|Matthew D. Wilson|22||Protection from black<br>{W}: Target creature gains protection from black until end of turn.|0|
22936|Capashen Unicorn|{1}{W}|Creature - Unicorn|1|2|{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.|Invasion|Common|0.0||2.588|Jerry Tiritilli|10||{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.|0|
22937|Benalish Trapper|{1}{W}|Creature - Human Soldier|1|2|{W}, {T}: Tap target creature.|Invasion|Common|0.0||3.792|Ken Meyer, Jr.|8||{W}, {T}: Tap target creature.|0|
