ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
139395|Burrenton Forge-Tender|{W}|Creature - Kithkin Wizard|1|1|Protection from red<br>Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.|Lorwyn|Uncommon|mono|1|0.0|||4.2|Chuck Lukacs|7||Protection from red<br>Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.|0
139396|Plover Knights|{3}{W}{W}|Creature - Kithkin Knight|3|3|Flying, first strike|Lorwyn|Common|mono|5|0.0|||2.31|Quinton Hoover|35||Flying, first strike|0
139397|Goldmeadow Harrier|{W}|Creature - Kithkin Soldier|1|1|{W}, {T}: Tap target creature.|Lorwyn|Common|mono|1|0.0|||4.212|Steve Prescott|17||{W}, {T}: Tap target creature.|0
139399|Kithkin Harbinger|{2}{W}|Creature - Kithkin Wizard|1|3|When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle your library and put that card on top of it.|Lorwyn|Uncommon|mono|3|0.0|||3.364|Steve Prescott|26||When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle your library and put that card on top of it.|0
139400|Wellgabber Apothecary|{4}{W}|Creature - Merfolk Cleric|2|3|{1}{W}: Prevent all damage that would be dealt to target tapped Merfolk or Kithkin creature this turn.|Lorwyn|Common|mono|5|0.0|||2.104|Brandon Dorman|47||{1}{W}: Prevent all damage that would be dealt to target tapped Merfolk or Kithkin creature this turn.|0
139401|Lys Alana Huntmaster|{2}{G}{G}|Creature - Elf Warrior|3|3|Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.|Lorwyn|Common|mono|4|0.0|||4.38|Pete Venters|229||Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.|0
139403|Kinsbaile Balloonist|{3}{W}|Creature - Kithkin Soldier|2|2|Flying<br>Whenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn.|Lorwyn|Common|mono|4|0.0|||3.026|Zoltan Boros & Gabor Szikszai|23||Flying<br>Whenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn.|0
139404|Lammastide Weave|{1}{G}|Instant|||Name a card, then target player puts the top card of his or her library into his or her graveyard. If that card is the named card, you gain life equal to its converted mana cost.<br>Draw a card.|Lorwyn|Uncommon|mono|2|0.0|||2.643|Howard Lyon|226||Name a card, then target player puts the top card of his or her library into his or her graveyard. If that card is the named card, you gain life equal to its converted mana cost.<br>Draw a card.|0
139406|Judge of Currents|{1}{W}|Creature - Merfolk Wizard|1|1|Whenever a Merfolk you control becomes tapped, you may gain 1 life.|Lorwyn|Common|mono|2|0.0|||4.095|Dan Scott|22||Whenever a Merfolk you control becomes tapped, you may gain 1 life.|0
139407|Harpoon Sniper|{2}{W}|Creature - Merfolk Archer|2|2|{W}, {T}: Harpoon Sniper deals X damage to target attacking or blocking creature, where X is the number of Merfolk you control.|Lorwyn|Uncommon|mono|3|0.0|||3.66|Dominick Domingo|19||{W}, {T}: Harpoon Sniper deals X damage to target attacking or blocking creature, where X is the number of Merfolk you control.|0
