ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
143199|War-Spike Changeling|{3}{R}|Creature - Shapeshifter|3|3|Changeling <i>(This card is every creature type at all times.)</i><br>{R}: War-Spike Changeling gains first strike until end of turn.|Morningtide|Common|0.0||2.614|Mark Poole|112||Changeling <i>(This card is every creature type at all times.)</i><br>{R}: War-Spike Changeling gains first strike until end of turn.|0|
143218|Moonglove Changeling|{2}{B}|Creature - Shapeshifter|2|2|Changeling <i>(This card is every creature type at all times.)</i><br>{B}: Moonglove Changeling gains deathtouch until end of turn. <i>(Any amount of damage it deals to a creature is enough to destroy that creature.)</i>|Morningtide|Common|0.0||3.175|Wayne England|67||Changeling <i>(This card is every creature type at all times.)</i><br>{B}: Moonglove Changeling gains deathtouch until end of turn. <i>(Any amount of damage it deals to a creature is enough to destroy that creature.)</i>|0|
143230|Changeling Sentinel|{3}{W}|Creature - Shapeshifter|3|2|Changeling <i>(This card is every creature type at all times.)</i><br>Vigilance|Morningtide|Common|0.0||2.425|Chuck Lukacs|6||Changeling <i>(This card is every creature type at all times.)</i><br>Vigilance|0|
143253|Game-Trail Changeling|{3}{G}{G}|Creature - Shapeshifter|4|4|Changeling <i>(This card is every creature type at all times.)</i><br>Trample|Morningtide|Common|0.0||3.172|Martina Pilcerova|123||Changeling <i>(This card is every creature type at all times.)</i><br>Trample|0|
143333|Mothdust Changeling|{U}|Creature - Shapeshifter|1|1|Changeling <i>(This card is every creature type at all times.)</i><br>Tap an untapped creature you control: Mothdust Changeling gains flying until end of turn.|Morningtide|Common|0.0||3.426|Shelly Wan|42||Changeling <i>(This card is every creature type at all times.)</i><br>Tap an untapped creature you control: Mothdust Changeling gains flying until end of turn.|0|
146593|Scapeshift|{2}{G}{G}|Sorcery|||Sacrifice any number of lands. Search your library for that many land cards, put them onto the battlefield tapped, then shuffle your library.|Morningtide|Rare|0.0||4.31|Fred Fields|136||Sacrifice any number of lands. Search your library for that many land cards, put them onto the battlefield tapped, then shuffle your library.|0|
152526|Door of Destinies|{4}|Artifact|||As Door of Destinies enters the battlefield, choose a creature type.<br>Whenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.<br>Creatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies.|Morningtide|Rare|0.0||4.575|Larry MacDougall|143||As Door of Destinies enters the battlefield, choose a creature type.<br>Whenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.<br>Creatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies.|0|
152533|Supreme Exemplar|{6}{U}|Creature - Elemental|10|10|Flying<br>Champion an Elemental <i>(When this enters the battlefield, sacrifice it unless you exile another Elemental you control. When this leaves the battlefield, that card returns to the battlefield.)</i>|Morningtide|Rare|0.0||4.065|Mark Tedin|53||Flying<br>Champion an Elemental <i>(When this enters the battlefield, sacrifice it unless you exile another Elemental you control. When this leaves the battlefield, that card returns to the battlefield.)</i>|0|
152534|Fire Juggler|{2}{R}|Creature - Goblin Shaman|2|2|Whenever Fire Juggler becomes blocked, clash with an opponent. If you win, Fire Juggler deals 4 damage to each creature blocking it. <i>(Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)</i>|Morningtide|Common|0.0||2.842|Thomas Denmark|90||Whenever Fire Juggler becomes blocked, clash with an opponent. If you win, Fire Juggler deals 4 damage to each creature blocking it. <i>(Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)</i>|0|
152539|Sensation Gorger|{1}{R}{R}|Creature - Goblin Shaman|2|2|Kinship- At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Sensation Gorger, you may reveal it. If you do, each player discards his or her hand and draws four cards.|Morningtide|Rare|0.0||4.21|Matt Cavotta|102||Kinship- At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Sensation Gorger, you may reveal it. If you do, each player discards his or her hand and draws four cards.|0|
152546|Maralen of the Mornsong|{1}{B}{B}|Legendary Creature - Elf Wizard|2|3|Players can't draw cards.<br>At the beginning of each player's draw step, that player loses 3 life, searches his or her library for a card, puts it into his or her hand, then shuffles his or her library.|Morningtide|Rare|0.0||4.167|Mark Zug|65||Players can't draw cards.<br>At the beginning of each player's draw step, that player loses 3 life, searches his or her library for a card, puts it into his or her hand, then shuffles his or her library.|0|
152549|Vendilion Clique|{1}{U}{U}|Legendary Creature - Faerie Wizard|3|1|Flash<br>Flying<br>When Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of his or her library, then draws a card.|Morningtide|Rare|0.0||4.345|Michael Sutfin|55||Flash<br>Flying<br>When Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of his or her library, then draws a card.|0|
152552|Titan's Revenge|{X}{R}{R}|Sorcery|||Titan's Revenge deals X damage to target creature or player. Clash with an opponent. If you win, return Titan's Revenge to its owner's hand. <i>(Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)</i>|Morningtide|Rare|0.0||3.952|Christopher Moeller|110||Titan's Revenge deals X damage to target creature or player. Clash with an opponent. If you win, return Titan's Revenge to its owner's hand. <i>(Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)</i>|0|
152553|Walker of the Grove|{6}{G}{G}|Creature - Elemental|7|7|When Walker of the Grove leaves the battlefield, put a 4/4 green Elemental creature token onto the battlefield.<br>Evoke {4}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Morningtide|Uncommon|0.0||3.15|Todd Lockwood|138||When Walker of the Grove leaves the battlefield, put a 4/4 green Elemental creature token onto the battlefield.<br>Evoke {4}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|0|
