ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
270475|Swamp||Basic Land - Swamp|||B|Premium Deck Series: Graveborn|Land|0.0||0.0||||B|0|
270473|Swamp||Basic Land - Swamp|||B|Premium Deck Series: Graveborn|Land|0.0||0.0||||B|0|
270474|Swamp||Basic Land - Swamp|||B|Premium Deck Series: Graveborn|Land|0.0||0.0||||B|0|
270476|Swamp||Basic Land - Swamp|||B|Premium Deck Series: Graveborn|Land|0.0||0.0||||B|0|
265167|Animate Dead|{1}{B}|Enchantment - Aura|||Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|0|
270455|Buried Alive|{2}{B}|Sorcery|||Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.|0|
270456|Entomb|{B}|Instant|||Search your library for a card and put that card into your graveyard. Then shuffle your library.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||Search your library for a card and put that card into your graveyard. Then shuffle your library.|0|
270457|Last Rites|{2}{B}|Sorcery|||Discard any number of cards. Target player reveals his or her hand, then you choose a nonland card from it for each card discarded this way. That player discards those cards.|Premium Deck Series: Graveborn|Common|0.0||0.0||||Discard any number of cards. Target player reveals his or her hand, then you choose a nonland card from it for each card discarded this way. That player discards those cards.|0|
270454|Zombie Infestation|{1}{B}|Enchantment|||Discard two cards: Put a 2/2 black Zombie creature token onto the battlefield.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Discard two cards: Put a 2/2 black Zombie creature token onto the battlefield.|0|
270462|Exhume|{1}{B}|Sorcery|||Each player puts a creature card from his or her graveyard onto the battlefield.|Premium Deck Series: Graveborn|Common|0.0||0.0||||Each player puts a creature card from his or her graveyard onto the battlefield.|0|
270468|Polluted Mire||Land|||Polluted Mire enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Premium Deck Series: Graveborn|Common|0.0||0.0||||Polluted Mire enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|0|
270452|Reanimate|{B}|Sorcery|||Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.|0|
270450|Verdant Force|{5}{G}{G}{G}|Creature - Elemental|7|7|At the beginning of each upkeep, put a 1/1 green Saproling creature token onto the battlefield.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||At the beginning of each upkeep, put a 1/1 green Saproling creature token onto the battlefield.|0|
270466|Crystal Vein||Land|||{T}: Add {1} to your mana pool.<br>{T}, Sacrifice Crystal Vein: Add {2} to your mana pool.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||{T}: Add {1} to your mana pool.<br>{T}, Sacrifice Crystal Vein: Add {2} to your mana pool.|0|
270465|Duress|{B}|Sorcery|||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|Premium Deck Series: Graveborn|Common|0.0||0.0||||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|0|
270467|Ebon Stronghold||Land|||Ebon Stronghold enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Ebon Stronghold enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.|0|
270448|Avatar of Woe|{6}{B}{B}|Creature - Avatar|6|5|If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|0|
265166|Cabal Therapy|{B}|Sorcery|||Name a nonland card. Target player reveals his or her hand and discards all cards with that name.<br>Flashback—Sacrifice a creature. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Name a nonland card. Target player reveals his or her hand and discards all cards with that name.<br>Flashback—Sacrifice a creature. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|0|
270453|Twisted Abomination|{5}{B}|Creature - Zombie Mutant|5|3|{B}: Regenerate Twisted Abomination.<br>Swampcycling {2} <i>({2}, Discard this card: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Premium Deck Series: Graveborn|Common|0.0||0.0||||{B}: Regenerate Twisted Abomination.<br>Swampcycling {2} <i>({2}, Discard this card: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.)</i>|0|
270464|Hidden Horror|{1}{B}{B}|Creature - Horror|4|4|When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.|0|
270463|Dread Return|{2}{B}{B}|Sorcery|||Return target creature card from your graveyard to the battlefield.<br>Flashback—Sacrifice three creatures. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||Return target creature card from your graveyard to the battlefield.<br>Flashback—Sacrifice three creatures. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|0|
270458|Faceless Butcher|{2}{B}{B}|Creature - Nightmare Horror|2|3|When Faceless Butcher enters the battlefield, exile target creature other than Faceless Butcher.<br>When Faceless Butcher leaves the battlefield, return the exiled card to the battlefield under its owner's control.|Premium Deck Series: Graveborn|Common|0.0||0.0||||When Faceless Butcher enters the battlefield, exile target creature other than Faceless Butcher.<br>When Faceless Butcher leaves the battlefield, return the exiled card to the battlefield under its owner's control.|0|
270140|Crosis, the Purger|{3}{U}{B}{R}|Legendary Creature - Dragon|6|6|Flying<br>Whenever Crosis, the Purger deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals his or her hand and discards all cards of that color.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||Flying<br>Whenever Crosis, the Purger deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals his or her hand and discards all cards of that color.|0|
270446|Sphinx of the Steel Wind|{5}{W}{U}{B}|Artifact Creature - Sphinx|6|6|Flying, first strike, vigilance, lifelink, protection from red and from green|Premium Deck Series: Graveborn|Mythic Rare|0.0||0.0||||Flying, first strike, vigilance, lifelink, protection from red and from green|0|
270447|Inkwell Leviathan|{7}{U}{U}|Artifact Creature - Leviathan|7|11|Islandwalk, trample, shroud|Premium Deck Series: Graveborn|Rare|0.0||0.0||||Islandwalk, trample, shroud|0|
270459|Putrid Imp|{B}|Creature - Zombie Imp|1|1|Discard a card: Putrid Imp gains flying until end of turn.<br>Threshold- As long as seven or more cards are in your graveyard, Putrid Imp gets +1/+1 and can't block.|Premium Deck Series: Graveborn|Common|0.0||0.0||||Discard a card: Putrid Imp gains flying until end of turn.<br>Threshold- As long as seven or more cards are in your graveyard, Putrid Imp gets +1/+1 and can't block.|0|
270451|Terastodon|{6}{G}{G}|Creature - Elephant|9|9|When Terastodon enters the battlefield, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller puts a 3/3 green Elephant creature token onto the battlefield.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||When Terastodon enters the battlefield, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller puts a 3/3 green Elephant creature token onto the battlefield.|0|
270449|Blazing Archon|{6}{W}{W}{W}|Creature - Archon|5|6|Flying<br>Creatures can't attack you.|Premium Deck Series: Graveborn|Rare|0.0||0.0||||Flying<br>Creatures can't attack you.|0|
270460|Sickening Dreams|{1}{B}|Sorcery|||As an additional cost to cast Sickening Dreams, discard X cards.<br>Sickening Dreams deals X damage to each creature and each player.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||As an additional cost to cast Sickening Dreams, discard X cards.<br>Sickening Dreams deals X damage to each creature and each player.|0|
270461|Diabolic Servitude|{3}{B}|Enchantment|||When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.<br>When the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.<br>When Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude.|Premium Deck Series: Graveborn|Uncommon|0.0||0.0||||When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.<br>When the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.<br>When Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude.|0|
