ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
108899|Aven Riftwatcher|{2}{W}|Creature - Bird Rebel Soldier|2|3|Flying<br>Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.|Planar Chaos|Common|mono|3|0.0|||0.0||||Flying<br>Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.|0
109740|Deadwood Treefolk|{5}{G}|Creature - Treefolk|3|6|Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Deadwood Treefolk enters the battlefield or leaves the battlefield, return another target creature card from your graveyard to your hand.|Planar Chaos|Uncommon|mono|6|0.0|||0.0||||Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Deadwood Treefolk enters the battlefield or leaves the battlefield, return another target creature card from your graveyard to your hand.|0
110501|Dust Corona|{R}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+0 and can't be blocked by creatures with flying.|Planar Chaos|Common|mono|1|0.0|||0.0||||Enchant creature<br>Enchanted creature gets +2/+0 and can't be blocked by creatures with flying.|0
110503|Waning Wurm|{3}{B}|Creature - Zombie Wurm|7|6|Vanishing 2 <i>(This permanent enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i>|Planar Chaos|Uncommon|mono|4|0.0|||0.0||||Vanishing 2 <i>(This permanent enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i>|0
110536|Cradle to Grave|{1}{B}|Instant|||Destroy target nonblack creature that entered the battlefield this turn.|Planar Chaos|Common|mono|2|0.0|||0.0||||Destroy target nonblack creature that entered the battlefield this turn.|0
111046|Deadly Grub|{2}{B}|Creature - Insect|3|1|Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Deadly Grub dies, if it had no time counters on it, put a 6/1 green Insect creature token with shroud onto the battlefield. <i>(It can't be the target of spells or abilities.)</i>|Planar Chaos|Common|mono|3|0.0|||0.0||||Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Deadly Grub dies, if it had no time counters on it, put a 6/1 green Insect creature token with shroud onto the battlefield. <i>(It can't be the target of spells or abilities.)</i>|0
111055|Lavacore Elemental|{2}{R}|Creature - Elemental|5|3|Vanishing 1 <i>(This permanent enters the battlefield with a time counter on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>Whenever a creature you control deals combat damage to a player, put a time counter on Lavacore Elemental.|Planar Chaos|Uncommon|mono|3|0.0|||0.0||||Vanishing 1 <i>(This permanent enters the battlefield with a time counter on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>Whenever a creature you control deals combat damage to a player, put a time counter on Lavacore Elemental.|0
111066|Chronozoa|{3}{U}|Creature - Illusion|3|3|Flying<br>Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Chronozoa dies, if it had no time counters on it, put two tokens that are copies of it onto the battlefield.|Planar Chaos|Rare|mono|4|0.0|||0.0||||Flying<br>Vanishing 3 <i>(This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)</i><br>When Chronozoa dies, if it had no time counters on it, put two tokens that are copies of it onto the battlefield.|0
122268|Needlepeak Spider|{3}{R}|Creature - Spider|4|2|Reach <i>(This creature can block creatures with flying.)</i>|Planar Chaos|Common|mono|4|0.0|||0.0||||Reach <i>(This creature can block creatures with flying.)</i>|0
122280|Gossamer Phantasm|{1}{U}|Creature - Illusion|2|1|Flying<br>When Gossamer Phantasm becomes the target of a spell or ability, sacrifice it.|Planar Chaos|Common|mono|2|0.0|||0.0||||Flying<br>When Gossamer Phantasm becomes the target of a spell or ability, sacrifice it.|0
122282|Revered Dead|{1}{W}|Creature - Spirit Soldier|1|1|{W}: Regenerate Revered Dead.|Planar Chaos|Common|mono|2|0.0|||0.0||||{W}: Regenerate Revered Dead.|0
122285|Shrouded Lore|{B}|Sorcery|||Target opponent chooses a card in your graveyard. You may pay {B}. If you do, repeat this process except that opponent can't choose a card already chosen for Shrouded Lore. Then put the last chosen card into your hand.|Planar Chaos|Uncommon|mono|1|0.0|||0.0||||Target opponent chooses a card in your graveyard. You may pay {B}. If you do, repeat this process except that opponent can't choose a card already chosen for Shrouded Lore. Then put the last chosen card into your hand.|0
122287|Rebuff the Wicked|{W}|Instant|||Counter target spell that targets a permanent you control.|Planar Chaos|Uncommon|mono|1|0.0|||0.0||||Counter target spell that targets a permanent you control.|0
122290|Citanul Woodreaders|{2}{G}|Creature - Human Druid|1|4|Kicker {2}{G} <i>(You may pay an additional {2}{G} as you cast this spell.)</i><br>When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.|Planar Chaos|Common|mono|3|0.0|||0.0||||Kicker {2}{G} <i>(You may pay an additional {2}{G} as you cast this spell.)</i><br>When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.|0
122313|Giant Dustwasp|{3}{G}{G}|Creature - Insect|3|3|Flying<br>Suspend 4—{1}{G} <i>(Rather than cast this card from your hand, you may pay {1}{G} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i>|Planar Chaos|Common|mono|5|0.0|||0.0||||Flying<br>Suspend 4—{1}{G} <i>(Rather than cast this card from your hand, you may pay {1}{G} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i>|0
