ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
129135|Blight Sickle|{2}|Artifact - Equipment|||Equipped creature gets +1/+0 and has wither. <i>(It deals damage to creatures in the form of -1/-1 counters.)</i><br>Equip {2}|Shadowmoor|Common|0.0||3.078|John Avon|247||Equipped creature gets +1/+0 and has wither. <i>(It deals damage to creatures in the form of -1/-1 counters.)</i><br>Equip {2}|0|
135429|Blowfly Infestation|{2}{B}|Enchantment|||Whenever a creature dies, if it had a -1/-1 counter on it, put a -1/-1 counter on target creature.|Shadowmoor|Uncommon|0.0||3.741|Drew Tucker|58||Whenever a creature dies, if it had a -1/-1 counter on it, put a -1/-1 counter on target creature.|0|
135436|Wildslayer Elves|{3}{G}|Creature - Elf Warrior|3|3|Wither <i>(This deals damage to creatures in the form of -1/-1 counters.)</i>|Shadowmoor|Common|0.0||3.694|Dave Kendall|133||Wither <i>(This deals damage to creatures in the form of -1/-1 counters.)</i>|0|
135439|Cinderhaze Wretch|{4}{B}|Creature - Elemental Shaman|3|2|{T}: Target player discards a card. Activate this ability only during your turn.<br>Put a -1/-1 counter on Cinderhaze Wretch: Untap Cinderhaze Wretch.|Shadowmoor|Common|0.0||2.554|Steven Belledin|60||{T}: Target player discards a card. Activate this ability only during your turn.<br>Put a -1/-1 counter on Cinderhaze Wretch: Untap Cinderhaze Wretch.|0|
135451|Barrenton Medic|{4}{W}|Creature - Kithkin Cleric|0|4|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>Put a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.|Shadowmoor|Common|0.0||1.957|Trevor Hairsine|4||{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>Put a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.|0|
135485|Biting Tether|{4}{U}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.<br>At the beginning of your upkeep, put a -1/-1 counter on enchanted creature.|Shadowmoor|Uncommon|0.0||2.596|Thomas Denmark|29||Enchant creature<br>You control enchanted creature.<br>At the beginning of your upkeep, put a -1/-1 counter on enchanted creature.|0|
135500|Devoted Druid|{1}{G}|Creature - Elf Druid|0|2|{T}: Add {G} to your mana pool.<br>Put a -1/-1 counter on Devoted Druid: Untap Devoted Druid.|Shadowmoor|Common|0.0||4.471|Darrell Riche|110||{T}: Add {G} to your mana pool.<br>Put a -1/-1 counter on Devoted Druid: Untap Devoted Druid.|0|
141929|Apothecary Initiate|{W}|Creature - Kithkin Cleric|1|1|Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.|Shadowmoor|Common|0.0||2.0|Kev Walker|1||Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.|0|
141930|Resplendent Mentor|{4}{W}|Creature - Kithkin Cleric|2|2|White creatures you control have "{T}: You gain 1 life."|Shadowmoor|Uncommon|0.0||2.875|Franz Vohwinkel|19||White creatures you control have "{T}: You gain 1 life."|0|
141935|Gravelgill Axeshark|{4}{U/B}|Creature - Merfolk Soldier|3|3|Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|Shadowmoor|Common|0.0||3.056|Dave Kendall|164||Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|0|
