ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
12345|Teroh's Faithful|{3}{W}|Creature - Human Cleric|1|4|When Teroh's Faithful enters the battlefield, you gain 4 life.|Torment|Common|mono|4|0.0|||0.0||||When Teroh's Faithful enters the battlefield, you gain 4 life.|0
12363|Militant Monk|{1}{W}{W}|Creature - Human Monk Cleric|2|1|Vigilance<br>{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|Torment|Common|mono|3|0.0|||0.0||||Vigilance<br>{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|0
12405|Gloomdrifter|{3}{B}|Creature - Zombie Minion|2|2|Flying<br>Threshold- As long as seven or more cards are in your graveyard, Gloomdrifter has "When Gloomdrifter enters the battlefield, nonblack creatures get -2/-2 until end of turn."|Torment|Uncommon|mono|4|0.0|||0.0||||Flying<br>Threshold- As long as seven or more cards are in your graveyard, Gloomdrifter has "When Gloomdrifter enters the battlefield, nonblack creatures get -2/-2 until end of turn."|0
12623|Arrogant Wurm|{3}{G}{G}|Creature - Wurm|4|4|Trample<br>Madness {2}{G} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|Torment|Uncommon|mono|5|0.0|||0.0||||Trample<br>Madness {2}{G} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|0
15229|Far Wanderings|{2}{G}|Sorcery|||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.<br>Threshold- If seven or more cards are in your graveyard, instead search your library for three basic land cards and put them onto the battlefield tapped. Then shuffle your library.|Torment|Common|mono|3|0.0|||0.0||||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.<br>Threshold- If seven or more cards are in your graveyard, instead search your library for three basic land cards and put them onto the battlefield tapped. Then shuffle your library.|0
19553|Balthor the Stout|{1}{R}{R}|Legendary Creature - Dwarf Barbarian|2|2|Other Barbarian creatures get +1/+1.<br>{R}: Another target Barbarian creature gets +1/+0 until end of turn.|Torment|Rare|mono|3|0.0|||0.0||||Other Barbarian creatures get +1/+1.<br>{R}: Another target Barbarian creature gets +1/+0 until end of turn.|0
19696|Coral Net|{U}|Enchantment - Aura|||Enchant green or white creature<br>Enchanted creature has "At the beginning of your upkeep, sacrifice this creature unless you discard a card."|Torment|Common|mono|1|0.0|||0.0||||Enchant green or white creature<br>Enchanted creature has "At the beginning of your upkeep, sacrifice this creature unless you discard a card."|0
23043|Shade's Form|{1}{B}{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has "{B}: This creature gets +1/+1 until end of turn."<br>When enchanted creature dies, return that card to the battlefield under your control.|Torment|Common|mono|3|0.0|||0.0||||Enchant creature<br>Enchanted creature has "{B}: This creature gets +1/+1 until end of turn."<br>When enchanted creature dies, return that card to the battlefield under your control.|0
26279|Carrion Rats|{B}|Creature - Rat|2|1|Whenever Carrion Rats attacks or blocks, any player may exile a card from his or her graveyard. If a player does, Carrion Rats assigns no combat damage this turn.|Torment|Common|mono|1|0.0|||0.0||||Whenever Carrion Rats attacks or blocks, any player may exile a card from his or her graveyard. If a player does, Carrion Rats assigns no combat damage this turn.|0
26361|Spirit Flare|{3}{W}|Instant|||Tap target untapped creature you control. If you do, it deals damage equal to its power to target attacking or blocking creature an opponent controls.<br>Flashback—{1}{W}, Pay 3 life. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Torment|Common|mono|4|0.0|||0.0||||Tap target untapped creature you control. If you do, it deals damage equal to its power to target attacking or blocking creature an opponent controls.<br>Flashback—{1}{W}, Pay 3 life. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|0
