ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
3589|Anvil of Bogardan|{2}|Artifact|||Players have no maximum hand size.<br>At the beginning of each player's draw step, that player draws an additional card, then discards a card.|Visions|Rare|colorless|2|0.0|||0.0||||Players have no maximum hand size.<br>At the beginning of each player's draw step, that player draws an additional card, then discards a card.|0
3590|Brass-Talon Chimera|{4}|Artifact Creature - Chimera|2|2|First strike<br>Sacrifice Brass-Talon Chimera: Put a +2/+2 counter on target Chimera creature. It gains first strike. <i>(This effect lasts indefinitely.)</i>|Visions|Uncommon|colorless|4|0.0|||0.0||||First strike<br>Sacrifice Brass-Talon Chimera: Put a +2/+2 counter on target Chimera creature. It gains first strike. <i>(This effect lasts indefinitely.)</i>|0
3591|Diamond Kaleidoscope|{4}|Artifact|||{3}, {T}: Put a 0/1 colorless Prism artifact creature token onto the battlefield.<br>Sacrifice a Prism token: Add one mana of any color to your mana pool.|Visions|Rare|colorless|4|0.0|||0.0||||{3}, {T}: Put a 0/1 colorless Prism artifact creature token onto the battlefield.<br>Sacrifice a Prism token: Add one mana of any color to your mana pool.|0
3593|Helm of Awakening|{2}|Artifact|||Spells cost {1} less to cast.|Visions|Uncommon|colorless|2|0.0|||0.0||||Spells cost {1} less to cast.|0
3594|Iron-Heart Chimera|{4}|Artifact Creature - Chimera|2|2|Vigilance<br>Sacrifice Iron-Heart Chimera: Put a +2/+2 counter on target Chimera creature. It gains vigilance. <i>(This effect lasts indefinitely.)</i>|Visions|Uncommon|colorless|4|0.0|||0.0||||Vigilance<br>Sacrifice Iron-Heart Chimera: Put a +2/+2 counter on target Chimera creature. It gains vigilance. <i>(This effect lasts indefinitely.)</i>|0
3595|Juju Bubble|{1}|Artifact|||Cumulative upkeep {1} <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i><br>When you play a card, sacrifice Juju Bubble.<br>{2}: You gain 1 life.|Visions|Uncommon|colorless|1|0.0|||0.0||||Cumulative upkeep {1} <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i><br>When you play a card, sacrifice Juju Bubble.<br>{2}: You gain 1 life.|0
3596|Lead-Belly Chimera|{4}|Artifact Creature - Chimera|2|2|Trample<br>Sacrifice Lead-Belly Chimera: Put a +2/+2 counter on target Chimera creature. It gains trample. <i>(This effect lasts indefinitely.)</i>|Visions|Uncommon|colorless|4|0.0|||0.0||||Trample<br>Sacrifice Lead-Belly Chimera: Put a +2/+2 counter on target Chimera creature. It gains trample. <i>(This effect lasts indefinitely.)</i>|0
3597|Magma Mine|{1}|Artifact|||{4}: Put a pressure counter on Magma Mine.<br>{T}, Sacrifice Magma Mine: Magma Mine deals damage equal to the number of pressure counters on it to target creature or player.|Visions|Uncommon|colorless|1|0.0|||0.0||||{4}: Put a pressure counter on Magma Mine.<br>{T}, Sacrifice Magma Mine: Magma Mine deals damage equal to the number of pressure counters on it to target creature or player.|0
3598|Matopi Golem|{5}|Artifact Creature - Golem|3|3|{1}: Regenerate Matopi Golem. When it regenerates this way, put a -1/-1 counter on it.|Visions|Uncommon|colorless|5|0.0|||0.0||||{1}: Regenerate Matopi Golem. When it regenerates this way, put a -1/-1 counter on it.|0
3599|Phyrexian Marauder|{X}|Artifact Creature - Construct|0|0|Phyrexian Marauder enters the battlefield with X +1/+1 counters on it.<br>Phyrexian Marauder can't block.<br>Phyrexian Marauder can't attack unless you pay {1} for each +1/+1 counter on it.|Visions|Rare|colorless|0|0.0|||0.0||||Phyrexian Marauder enters the battlefield with X +1/+1 counters on it.<br>Phyrexian Marauder can't block.<br>Phyrexian Marauder can't attack unless you pay {1} for each +1/+1 counter on it.|0
