ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
4429|Bösium Strip|{3}|Artifact|||{3}, {T}: Until end of turn, if the top card of your graveyard is an instant or sorcery card, you may cast that card. If a card cast this way would be put into a graveyard this turn, exile it instead.|Weatherlight|Rare|0.0||3.98|Steve Luke|1||{3}, {T}: Until end of turn, if the top card of your graveyard is an instant or sorcery card, you may cast that card. If a card cast this way would be put into a graveyard this turn, exile it instead.|0|
4430|Bubble Matrix|{4}|Artifact|||Prevent all damage that would be dealt to creatures.|Weatherlight|Rare|0.0||4.268|Brom|2||Prevent all damage that would be dealt to creatures.|0|
4431|Chimeric Sphere|{3}|Artifact|||{2}: Until end of turn, Chimeric Sphere becomes a 2/1 Construct artifact creature with flying.<br>{2}: Until end of turn, Chimeric Sphere becomes a 3/2 Construct artifact creature without flying.|Weatherlight|Uncommon|0.0||2.706|Colin MacNeil|3||{2}: Until end of turn, Chimeric Sphere becomes a 2/1 Construct artifact creature with flying.<br>{2}: Until end of turn, Chimeric Sphere becomes a 3/2 Construct artifact creature without flying.|0|
4432|Dingus Staff|{4}|Artifact|||Whenever a creature dies, Dingus Staff deals 2 damage to that creature's controller.|Weatherlight|Uncommon|0.0||3.34|Richard Kane Ferguson|4||Whenever a creature dies, Dingus Staff deals 2 damage to that creature's controller.|0|
4433|Jabari's Banner|{2}|Artifact|||{1}, {T}: Target creature gains flanking until end of turn. <i>(Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)</i>|Weatherlight|Uncommon|0.0||2.738|Mark Harrison|5||{1}, {T}: Target creature gains flanking until end of turn. <i>(Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)</i>|0|
4434|Jangling Automaton|{3}|Artifact Creature - Construct|3|2|Whenever Jangling Automaton attacks, untap all creatures defending player controls.|Weatherlight|Common|0.0||2.52|Adam Rex|6||Whenever Jangling Automaton attacks, untap all creatures defending player controls.|0|
4435|Mana Web|{3}|Artifact|||Whenever a land an opponent controls is tapped for mana, tap all lands that player controls that could produce any type of mana that land could produce.|Weatherlight|Rare|0.0||4.431|Hannibal King|7||Whenever a land an opponent controls is tapped for mana, tap all lands that player controls that could produce any type of mana that land could produce.|0|
4437|Null Rod|{2}|Artifact|||Activated abilities of artifacts can't be activated.|Weatherlight|Rare|0.0||4.573|Anson Maddocks|8||Activated abilities of artifacts can't be activated.|0|
4438|Phyrexian Furnace|{1}|Artifact|||{T}: Exile the bottom card of target player's graveyard.<br>{1}, Sacrifice Phyrexian Furnace: Exile target card from a graveyard. Draw a card.|Weatherlight|Uncommon|0.0||2.633|George Pratt|9||{T}: Exile the bottom card of target player's graveyard.<br>{1}, Sacrifice Phyrexian Furnace: Exile target card from a graveyard. Draw a card.|0|
4439|Serrated Biskelion|{3}|Artifact Creature - Construct|2|2|{T}: Put a -1/-1 counter on Serrated Biskelion and a -1/-1 counter on target creature.|Weatherlight|Uncommon|0.0||3.571|Ron Spencer|10||{T}: Put a -1/-1 counter on Serrated Biskelion and a -1/-1 counter on target creature.|0|
